timestamp,command,cdistance,left_enc,right_enc
09:59:54.329,  Stop,  0.0,  0.0,  0.0
09:59:54.331,  Stop,  0.0,  0.0,  0.0
09:59:55.195,  Stop,  0.0,  0.0,  0.0
09:59:55.250,  Stop,  0.0,  0.0,  0.0
09:59:55.287,  Stop,  0.0,  0.0,  0.0
09:59:55.303,  Stop,  0.0,  0.0,  0.0
09:59:55.339,  Forward,  0.0,  0.0,  0.0
09:59:55.388,  Forward,  0.0,  0.0005,  0.0007
09:59:55.392,  Forward,  0.0045,  0.0051,  0.0051
09:59:55.442,  Forward,  0.0045,  0.0084,  0.1459
09:59:55.499,  Forward,  0.0045,  0.0164,  0.1539
09:59:55.544,  Forward,  0.0045,  0.0193,  0.157
09:59:55.586,  Forward,  0.0045,  0.0235,  0.1612
09:59:55.593,  Forward,  0.01,  0.0291,  0.1665
09:59:55.646,  Forward,  0.0131,  0.0323,  0.1696
09:59:55.695,  Forward,  0.0195,  0.0388,  0.1759
09:59:55.696,  Forward,  0.026,  0.0457,  0.1821
09:59:55.762,  Forward,  0.026,  0.0498,  0.186
09:59:55.765,  Forward,  0.026,  0.0553,  0.1911
09:59:55.796,  Forward,  0.0327,  0.0622,  0.1976
09:59:55.851,  Forward,  0.0327,  0.0664,  0.2019
09:59:55.859,  Forward,  0.0327,  0.0725,  0.2074
09:59:55.904,  Forward,  0.0327,  0.0767,  0.2117
09:59:55.916,  Forward,  0.0327,  0.0824,  0.2168
09:59:55.954,  Forward,  0.0395,  0.089,  0.2237
09:59:56.001,  Forward,  0.0435,  0.0932,  0.2275
09:59:56.014,  Forward,  0.0495,  0.0992,  0.2336
09:59:56.056,  Forward,  0.0561,  0.1057,  0.2401
09:59:56.110,  Forward,  0.0561,  0.11,  0.2444
09:59:56.113,  Forward,  0.0561,  0.1157,  0.25
09:59:56.158,  Forward,  0.0629,  0.1225,  0.2569
09:59:56.179,  Forward,  0.0629,  0.1266,  0.2611
09:59:56.224,  Forward,  0.0629,  0.1324,  0.267
09:59:56.272,  Forward,  0.0695,  0.1387,  0.2738
09:59:56.278,  Forward,  0.0695,  0.1431,  0.2783
09:59:56.325,  Forward,  0.0695,  0.1484,  0.2841
09:59:56.374,  Forward,  0.0762,  0.155,  0.291
09:59:56.380,  Forward,  0.0762,  0.1592,  0.2955
09:59:56.421,  Forward,  0.0762,  0.1648,  0.3015
09:59:56.470,  Forward,  0.0831,  0.1717,  0.3084
09:59:56.480,  Forward,  0.0863,  0.1747,  0.3118
09:59:56.531,  Forward,  0.093,  0.1812,  0.3187
09:59:56.569,  Forward,  0.093,  0.1851,  0.3232
09:59:56.581,  Forward,  0.0996,  0.1916,  0.33
09:59:56.622,  Forward,  0.0996,  0.1969,  0.3358
09:59:56.663,  Forward,  0.1058,  0.2029,  0.3424
09:59:56.679,  Forward,  0.1058,  0.2073,  0.3469
09:59:56.730,  Forward,  0.1058,  0.2127,  0.3527
09:59:56.762,  Forward,  0.1058,  0.2167,  0.3571
09:59:56.774,  Forward,  0.1058,  0.2223,  0.363
09:59:56.815,  Forward,  0.1121,  0.2282,  0.3695
09:59:56.870,  Forward,  0.1121,  0.2327,  0.374
09:59:56.886,  Forward,  0.1121,  0.238,  0.3798
09:59:56.927,  Forward,  0.119,  0.2449,  0.3867
09:59:56.969,  Forward,  0.119,  0.249,  0.391
09:59:56.979,  Forward,  0.119,  0.2546,  0.3969
09:59:57.019,  Forward,  0.1256,  0.2611,  0.4036
09:59:57.068,  Forward,  0.1256,  0.2651,  0.4081
09:59:57.082,  Forward,  0.1256,  0.2716,  0.4145
09:59:57.125,  Forward,  0.1314,  0.2772,  0.4205
09:59:57.171,  Forward,  0.1314,  0.2816,  0.4249
09:59:57.182,  Forward,  0.1314,  0.2874,  0.4309
09:59:57.226,  Forward,  0.1382,  0.2943,  0.4375
09:59:57.240,  Forward,  0.1382,  0.2986,  0.4418
09:59:57.275,  Forward,  0.1382,  0.3041,  0.4476
09:59:57.330,  Forward,  0.1452,  0.3113,  0.4545
09:59:57.335,  Forward,  0.1485,  0.3146,  0.4579
